Instrument,Year,Tip (High),Dip (Low),
AUDUSD,2022,0.7661,0.617,
AUDUSD,2023,0.715,0.6288,
AUDUSD,2024,0.6942,0.6199,
AUDUSD,2025,0.6717,0.5955,
NZDCAD,2022,0.895,0.76,
NZDCAD,2023,0.865,0.8,
NZDCAD,2024,0.848,0.807,
NZDCAD,2025,0.84,0.78,
AUDNZD,2022,1.149,1.03,
AUDNZD,2023,1.109,1.056,
AUDNZD,2024,1.1157,1.0585,
AUDNZD,2025,1.1597,1.0661,
AUDCHF,2022,0.707,0.606,
AUDCHF,2023,0.606,0.554,
AUDCHF,2024,0.607,0.551,
AUDCHF,2025,0.563,0.5002,
AUDCAD,2022,0.948,0.856,
AUDCAD,2023,0.92,0.86,
AUDCAD,2024,0.925,0.885,
AUDCAD,2025,0.9505,0.858,
XAUUSD,2022,2070,1614,
XAUUSD,2023,2135,1810,
XAUUSD,2024,2790,1984,
XAUUSD,2025,4550,2624,
NAS100.r,2022,16212,10440,USA100
NAS100.r,2023,16862,10696,USA100
NAS100.r,2024,22133,16249,USA100
NAS100.r,2025,22600,16400,USA100
DJ30.r,2022,36953,28660,USA30
DJ30.r,2023,37710,31429,USA30
DJ30.r,2024,45073,37073,USA30
DJ30.r,2025,45100,36600,USA30
HK50ft.r,2022,25050,14597,HK 40 Index
HK50ft.r,2023,22700,14794,HK 40 Index
HK50ft.r,2024,23509,14794,HK 40 Index
HK50ft.r,2025,24000,18500,HK 40 Index
BTCUSD,2022,48086,15476,
BTCUSD,2023,44705,16496,
BTCUSD,2024,108268,38501,
BTCUSD,2025,109000,74000,
